cust_id,recency,frequency,monetary
12346,272,2,0
12347,2,7,4310
12348,65,4,1797.24
12349,16,1,1757.55
12350,259,1,334.4
12352,31,11,1545.41
12353,173,1,89
12354,192,1,1079.4
12355,182,1,459.4
12356,19,3,2811.43
12357,29,1,6207.67
12358,1,2,1168.06
12359,6,6,6245.53
12360,45,3,2662.06
12361,239,1,189.9
12362,3,13,5154.58
12363,93,2,552
12364,6,4,1313.1
12365,243,3,320.69
12367,4,1,168.9
12370,44,4,3545.69
12371,38,2,1887.96
12372,61,3,1298.04
12373,260,1,364.6
12374,22,1,742.93
12375,2,3,455.42
12377,263,2,1628.12
12378,110,1,4008.62
12379,70,3,850.29
12380,18,5,2720.56
12381,4,6,1803.96
12383,157,6,1839.31
12384,24,3,566.16
12386,282,2,401.9
12388,13,6,2780.66
12390,68,1,549.84
12391,18,1,460.89
12393,62,4,1582.6
12394,54,2,1272.48
12395,13,15,2998.28
12397,30,2,2409.9
12398,39,1,1635.66
12399,101,4,1108.65
12401,253,1,84.3
12402,270,1,225.6
12403,42,2,409.7
12405,126,1,1710.39
12406,19,3,3280.75
12407,42,5,1708.12
12408,28,9,2842.57
12409,67,7,11056.93
12410,251,3,681.08
12412,64,3,1226.88
12413,57,5,694.15
12414,184,3,562.41
12415,21,26,123725.45
12417,3,12,3578.8
12418,95,1,668.58
12420,54,1,600.39
12421,13,5,806.27
12422,82,3,803.56
12423,0,9,1849.11
12424,138,2,1760.96
12425,67,1,777.2
12426,165,1,582.73
12427,10,5,708.37
12428,22,12,7877.2
12429,8,4,3750.4
12430,37,1,256.4
12431,30,18,6416.39
12432,36,5,5059.32
12433,0,7,13375.87
12434,72,4,765.19
12435,68,2,7829.89
12436,85,1,509.01
12437,1,19,4896.66
12438,12,2,2906.85
12441,308,1,173.55
12442,3,1,172.06
12444,18,5,5005.46
12445,19,1,133.4
12446,49,1,1002.31
12447,202,1,476.49
12448,38,1,449.45
12449,19,4,4067.29
12450,133,2,197.88
12451,9,6,8933.52
12452,14,3,428.57
12453,114,1,707.09
12454,46,2,5.40E-13
12455,63,6,2466.86
12456,38,4,3153.89
12457,50,12,1917.78
12458,61,2,947.4
12461,81,2,826.88
12462,2,4,1124.01
12463,40,7,1303.63
12464,9,8,1212.05
12465,6,3,733.89
12468,122,3,724.04
12471,2,49,18740.92
12472,26,13,6229.48
12473,25,9,2848.23
12474,15,30,7116.47
12475,46,1,723.38
12476,1,20,6546.58
12477,19,9,13117.01
12478,3,1,680.99
12479,3,3,477.3
12480,24,4,3281.63
12481,19,11,5590.86
12483,15,13,2327.13
12484,28,8,4495.27
12488,8,3,1298.66
12489,281,1,334.93
12490,5,10,5417.93
12491,33,1,460.4
12492,54,2,263.21
12493,141,3,416.79
12494,8,13,1139.35
12497,70,1,1043.1
12498,18,3,403.7
12500,20,13,4206.27
12501,263,2,2089.68
12502,82,5,3723.87
12503,282,1,-1126
12504,16,4,114
12505,251,1,-4.5
12506,192,1,73.5
12507,114,4,1258.06
12508,23,2,398.27
12509,237,1,176.5
12510,121,2,982.57
12512,57,2,138.03
12513,72,2,586.79
12514,222,1,1017.68
12515,297,1,383.7
12516,66,2,1312.06
12517,24,6,2464.89
12518,0,5,2056.89
12519,54,1,340.84
12520,68,6,2582.51
12521,121,1,599.68
12522,34,2,192.72
12523,1,13,1745.57
12524,8,8,4485.72
12526,0,3,1316.66
12527,70,3,348.71
12528,8,8,1922.28
12530,51,5,1623.63
12531,12,1,125.22
12532,26,1,349.83
12534,111,1,1089.18
12535,78,2,716.35
12536,6,5,4106.82
12538,25,1,363.95
12539,19,5,3852.5
12540,17,19,13309.04
12541,25,3,981.18
12544,25,2,355.7
12545,65,2,1000.39
12546,40,3,1141.5
12547,167,2,207.8
12548,142,1,95.2
12550,68,1,964.83
12551,300,1,168
12552,33,2,437.82
12553,7,14,3652.25
12556,43,2,603.71
12557,14,5,11990.96
12558,1,2,-3.91E-14
12559,259,3,536.21
12560,5,4,2101.39
12561,252,1,238.85
12562,7,7,3781.74
12564,217,1,456.9
12565,234,2,131.17
12566,62,2,346.7
12567,19,11,9114.94
12569,2,35,4064.99
12571,34,2,519.61
12572,7,3,1004.72
12573,191,1,160.54
12574,263,1,218.45
12576,30,6,1306.98
12577,30,4,595.4
12578,18,4,2753.36
12579,63,3,410.72
12580,204,1,415.7
12581,34,1,197.71
12582,197,2,511.36
12583,2,18,7187.34
12584,3,18,1893.95
12585,194,4,1982.81
12586,15,2,179.94
12587,6,1,144
12588,34,1,214.9
12589,24,2,646.68
12590,162,3,9861.38
12591,265,1,452.85
12592,79,2,437.6
12593,92,3,418.1
12594,32,11,3320.22
12596,44,2,618.27
12597,17,5,3683.13
12598,8,9,3002.68
12599,25,7,1032.58
12600,24,11,2581.04
12601,161,6,569.56
12602,50,1,153.12
12603,18,1,739.2
12604,68,2,254.18
12605,307,1,-7.5
12607,50,2,-4.10E-13
12609,67,3,1126.85
12610,19,7,2057.99
12611,45,1,1193.32
12612,49,2,643.59
12613,27,6,3218.98
12614,231,1,315.6
12615,2,4,2291.19
12616,73,5,657.25
12617,25,1,355.53
12618,18,1,177.31
12619,14,13,3214.81
12620,12,3,1339.41
12621,1,23,13612.07
12622,192,1,180.1
12623,230,1,305.1
12624,90,2,641.13
12625,179,3,2614.32
12626,20,13,6388.35
12627,9,7,4478.53
12628,4,4,769.61
12630,8,2,1270.88
12631,49,1,640.5
12633,50,5,2140.63
12635,77,2,1689.18
12637,58,10,5953.25
12638,29,1,671.69
12639,197,1,486.1
12640,20,3,1174.58
12641,98,1,185.9
12642,22,3,1013.26
12643,109,6,3344.64
12644,110,1,477.91
